gene,accession,pdb,method,resolution,coverage
HRAS,P01112,AF-P01112-F1-model_v2,alphafold,,1:189 
HRAS,P01112,121p,x-ray,1.54,1:166 
HRAS,P01112,1aa9,nmr,,1:171 
HRAS,P01112,1bkd,x-ray,2.8,1:166 
HRAS,P01112,1clu,x-ray,1.7,38:166 
HRAS,P01112,1crp,nmr,,1:166 
HRAS,P01112,1crq,nmr,,1:166 
HRAS,P01112,1crr,nmr,,1:166 
HRAS,P01112,1ctq,x-ray,1.26,1:166 
HRAS,P01112,1gnp,x-ray,2.7,1:166 
HRAS,P01112,1gnq,x-ray,2.5,1:166 
HRAS,P01112,1gnr,x-ray,1.85,1:166 
HRAS,P01112,1iaq,x-ray,2.9,1:29 38:60 70:166 39:61 68:166 1:31 38:63 71:166 
HRAS,P01112,1ioz,x-ray,2.0,1:60 68:169 
HRAS,P01112,1k8r,x-ray,3.0,1:166 
HRAS,P01112,1nvv,x-ray,2.18,1:166 
HRAS,P01112,1nvw,x-ray,2.7,1:166 
HRAS,P01112,1p2s,x-ray,2.45,1:166 
HRAS,P01112,1p2t,x-ray,2.0,1:62 67:166 
HRAS,P01112,1p2u,x-ray,2.0,1:62 67:166 
HRAS,P01112,1p2v,x-ray,2.3,1:166 
HRAS,P01112,1plj,x-ray,2.8,1:6 15:21 23:32 34:38 40:43 45:55 57:60 65:67 69:72 74:75 77:80 82:87 91:123 125:163 165:166 
HRAS,P01112,1plk,x-ray,2.8,1:8 15:20 24:29 32:33 36:48 50:54 57:69 71:78 81:102 104:111 134:138 142:150 152:157 159:166 
HRAS,P01112,1pll,x-ray,2.8,17:29 31:42 7:8 47:53 55:60 64:92 94:107 109:139 141:147 149:166 
HRAS,P01112,1q21,x-ray,2.2,1:171 
HRAS,P01112,1qra,x-ray,1.6,1:166 
HRAS,P01112,1rvd,x-ray,1.9,38:166 
HRAS,P01112,1wq1,x-ray,2.5,1:166 
HRAS,P01112,1xcm,x-ray,1.84,119:167 
HRAS,P01112,1xd2,x-ray,2.7,1:166 
HRAS,P01112,1xj0,x-ray,1.7,119:166 
HRAS,P01112,1zw6,x-ray,1.5,1:50 
HRAS,P01112,2cld,x-ray,1.22,1:29 
HRAS,P01112,2rge,x-ray,1.4,1:60 69:166 
HRAS,P01112,2rgg,x-ray,1.45,1:60 68:166 
HRAS,P01112,2x1v,x-ray,1.7,2:29 38:59 
HRAS,P01112,3k8y,x-ray,1.3,1:166 
HRAS,P01112,3k9l,x-ray,1.8,72:166 68:166 69:166 
HRAS,P01112,3k9n,x-ray,2.0,64:166 
HRAS,P01112,3kkm,x-ray,1.7,72:166 
HRAS,P01112,3kud,x-ray,2.15,1:165 
HRAS,P01112,3l8y,x-ray,2.02,1:166 
HRAS,P01112,3l8z,x-ray,1.44,1:166 
HRAS,P01112,3lbh,x-ray,1.85,1:166 
HRAS,P01112,3lbi,x-ray,2.09,1:166 
HRAS,P01112,3lbn,x-ray,1.86,1:166 
HRAS,P01112,3lo5,x-ray,2.57,38:57 72:166 39:166 
HRAS,P01112,3oiv,x-ray,1.84,67:166 
HRAS,P01112,3rry,x-ray,1.6,1:166 
HRAS,P01112,3rrz,x-ray,1.6,1:166 
HRAS,P01112,3rs0,x-ray,1.4,1:166 
HRAS,P01112,3rs2,x-ray,1.84,1:166 
HRAS,P01112,3rs3,x-ray,1.52,1:166 
HRAS,P01112,3rs4,x-ray,1.7,1:64 67:166 
HRAS,P01112,3rs5,x-ray,1.68,1:166 
HRAS,P01112,3rs7,x-ray,1.7,1:64 68:166 
HRAS,P01112,3rsl,x-ray,1.7,1:61 72:166 
HRAS,P01112,3rso,x-ray,1.6,1:166 
HRAS,P01112,3tgp,x-ray,1.31,1:166 
HRAS,P01112,4dls,x-ray,1.82,1:166 
HRAS,P01112,4dlt,x-ray,1.7,1:166 
HRAS,P01112,4dlu,x-ray,1.6,1:166 
HRAS,P01112,4dlw,x-ray,1.72,1:166 
HRAS,P01112,4efl,x-ray,1.9,1:166 
HRAS,P01112,4g0n,x-ray,2.45,1:63 66:166 
HRAS,P01112,4l9s,x-ray,1.61,68:166 
HRAS,P01112,4nyj,x-ray,2.85,1:166 
HRAS,P01112,4nym,x-ray,3.55,1:166 
HRAS,P01112,4q21,x-ray,2.0,1:168 
HRAS,P01112,4rsg,neutron diffraction,1.91,1:61 66:166 
HRAS,P01112,4xvq,x-ray,1.89,1:61 
HRAS,P01112,4xvr,x-ray,2.03,1:61 
HRAS,P01112,5b2z,x-ray,1.56,1:166 
HRAS,P01112,5b30,x-ray,1.6,1:166 
HRAS,P01112,5p21,x-ray,1.35,1:166 
HRAS,P01112,5vbe,x-ray,1.57,1:61 
HRAS,P01112,5vbz,x-ray,2.2,1:60 
HRAS,P01112,5wdo,x-ray,1.65,1:166 
