gene,accession,pdb,method,resolution,coverage
GRIN2A,Q12879,AF-Q12879-F1-model_v2,alphafold,,1:1464 
GRIN2A,Q12879,3nfl,x-ray,1.91,1460:1464 
GRIN2A,Q12879,5h8f,x-ray,1.81,404:422 
GRIN2A,Q12879,5h8h,x-ray,2.23,403:424 
GRIN2A,Q12879,5h8q,x-ray,1.9,404:424 
GRIN2A,Q12879,5i2k,x-ray,2.86,404:424 
GRIN2A,Q12879,5i2n,x-ray,2.12,403:424 
GRIN2A,Q12879,5kdt,x-ray,2.44,403:424 
GRIN2A,Q12879,5tp9,x-ray,2.4,404:423 
GRIN2A,Q12879,5tpa,x-ray,2.48,404:423 
GRIN2A,Q12879,6ira,e-m,4.5,34:398 401:538 556:581 598:613 625:655 660:759 763:809 814:841 
GRIN2A,Q12879,6irf,e-m,5.1,555:581 598:613 625:655 766:809 814:841 
GRIN2A,Q12879,6irg,e-m,5.5,555:581 598:613 625:655 766:809 814:841 
GRIN2A,Q12879,6irh,e-m,7.8,555:581 598:613 625:655 763:809 814:841 
GRIN2A,Q12879,7eoq,e-m,4.1,34:581 598:655 807:837 
GRIN2A,Q12879,7eor,e-m,4.0,34:540 556:581 598:614 625:655 815:837 
GRIN2A,Q12879,7eos,e-m,3.9,34:542 549:581 598:621 625:655 813:837 
GRIN2A,Q12879,7eot,e-m,3.8,34:540 550:581 598:616 625:655 813:837 
GRIN2A,Q12879,7eou,e-m,4.3,34:541 549:581 598:616 625:655 813:837 
GRIN2A,Q12879,7eu7,e-m,3.5,34:578 599:804 812:841 
