gene,accession,pdb,method,resolution,coverage
PTCH1,Q13635,AF-Q13635-F1-model_v2,alphafold,,1:1447 
PTCH1,Q13635,6dmb,e-m,3.9,73:607 731:1185 
PTCH1,Q13635,6dmo,e-m,4.1,73:206 731:1185 
PTCH1,Q13635,6dmy,e-m,3.6,73:607 729:1185 
PTCH1,Q13635,6e1h,e-m,3.5,76:607 731:1176 
PTCH1,Q13635,6n7g,e-m,6.8,73:606 729:1185 76:610 731:1183 
PTCH1,Q13635,6n7h,e-m,3.6,73:606 729:1185 76:610 731:1183 
PTCH1,Q13635,6n7k,e-m,6.5,73:606 729:1185 76:610 731:1183 
PTCH1,Q13635,6oeu,e-m,3.5,76:607 731:887 902:1176 
PTCH1,Q13635,6oev,e-m,3.8,76:607 731:887 902:1176 
PTCH1,Q13635,6rmg,e-m,3.4,46:613 729:1186 
PTCH1,Q13635,6rtx,x-ray,1.95,151:206 216:426 
PTCH1,Q13635,6rvc,x-ray,2.2,842:935 
PTCH1,Q13635,6rvd,e-m,3.5,72:608 732:1180 76:605 733:1180 
