gene,accession,pdb,method,resolution,coverage
AURKA,O14965,1mq4,x-ray,1.9,126:285 288:388 
AURKA,O14965,1muo,x-ray,2.9,128:278 289:388 
AURKA,O14965,1ol5,x-ray,2.5,123:286 289:387 
AURKA,O14965,1ol6,x-ray,3.0,128:141 143:172 292:303 305:387 
AURKA,O14965,1ol7,x-ray,2.75,127:286 289:389 
AURKA,O14965,2bmc,x-ray,2.6,127:279 292:394 125:279 292:393 126:279 
AURKA,O14965,2c6d,x-ray,2.2,126:280 291:389 
AURKA,O14965,2c6e,x-ray,2.1,127:278 291:389 127:274 291:388 
AURKA,O14965,2dwb,x-ray,2.5,126:285 288:299 301:304 306:372 374:389 
AURKA,O14965,2j4z,x-ray,2.0,126:388 126:394 
AURKA,O14965,2j50,x-ray,3.0,128:279 288:302 307:388 
AURKA,O14965,2np8,x-ray,2.25,127:285 292:388 
AURKA,O14965,2w1c,x-ray,3.24,127:286 289:389 
AURKA,O14965,2w1d,x-ray,2.97,127:279 291:307 309:389 
AURKA,O14965,2w1e,x-ray,2.93,127:279 291:389 
AURKA,O14965,2w1f,x-ray,2.85,127:280 291:389 
AURKA,O14965,2w1g,x-ray,2.71,127:281 291:389 
AURKA,O14965,2wqe,x-ray,2.5,291:301 307:388 
AURKA,O14965,2wtv,x-ray,2.4,291:389 
AURKA,O14965,2wtw,x-ray,3.3,290:389 
AURKA,O14965,2x6d,x-ray,2.8,126:170 175:285 290:388 
AURKA,O14965,2x6e,x-ray,3.35,126:280 292:302 306:388 
AURKA,O14965,2x81,x-ray,2.91,127:140 144:273 291:388 
AURKA,O14965,2xne,x-ray,2.8,127:165 292:388 
AURKA,O14965,2xng,x-ray,2.61,127:281 292:389 
AURKA,O14965,2xru,x-ray,2.9,126:279 290:388 
AURKA,O14965,3e5a,x-ray,2.3,125:287 289:389 
AURKA,O14965,3efw,x-ray,2.29,126:275 293:302 309:388 308:389 
AURKA,O14965,3fdn,x-ray,1.9,126:281 290:394 
AURKA,O14965,3h0y,x-ray,2.5,126:278 292:388 
AURKA,O14965,3h0z,x-ray,2.92,128:278 292:388 126:140 147:274 
AURKA,O14965,3h10,x-ray,2.2,126:283 292:388 
AURKA,O14965,3ha6,x-ray,2.36,289:388 
AURKA,O14965,3k5u,x-ray,2.35,126:280 290:394 
AURKA,O14965,3lau,x-ray,2.1,293:391 
AURKA,O14965,3m11,x-ray,2.75,126:280 291:391 
AURKA,O14965,3myg,x-ray,2.4,126:280 292:388 
AURKA,O14965,3o50,x-ray,2.0,126:277 292:302 306:388 126:275 287:302 307:389 
AURKA,O14965,3o51,x-ray,3.2,126:275 293:388 
AURKA,O14965,3p9j,x-ray,2.8,126:279 291:303 307:388 
AURKA,O14965,3qbn,x-ray,3.5,126:274 
AURKA,O14965,3r21,x-ray,2.9,127:279 289:389 
AURKA,O14965,3r22,x-ray,2.9,126:281 291:389 
AURKA,O14965,3vap,x-ray,2.66,127:277 291:388 
AURKA,O14965,3w16,x-ray,2.8,126:279 291:303 307:388 
