gene,accession,pdb,method,resolution,coverage
EGFR,P00533,AF-P00533-F1-model_v2,alphafold,,1:1210 
EGFR,P00533,1ivo,x-ray,3.3,26:536 27:536 
EGFR,P00533,1m14,x-ray,2.6,696:984 1003:1020 
EGFR,P00533,1m17,x-ray,2.6,696:988 1001:1019 
EGFR,P00533,1mox,x-ray,2.5,25:329 331:524 25:525 
EGFR,P00533,1xkk,x-ray,2.4,702:733 738:749 754:867 876:987 995:1004 1010:1018 
EGFR,P00533,1z9i,nmr,,669:721 
EGFR,P00533,2eb2,x-ray,2.5,724:748 750:864 866:990 1005:1019 
EGFR,P00533,2eb3,x-ray,2.84,696:720 876:990 1005:1018 
EGFR,P00533,2gs2,x-ray,2.8,696:746 750:990 1006:1018 
EGFR,P00533,2gs6,x-ray,2.6,751:991 1005:1019 
EGFR,P00533,2gs7,x-ray,2.6,703:870 1009:1012 701:871 1009:1016 
EGFR,P00533,2itn,x-ray,2.47,876:989 1001:1019 
EGFR,P00533,2ito,x-ray,3.25,876:989 1002:1019 
EGFR,P00533,2itp,x-ray,2.74,1002:1018 
EGFR,P00533,2itq,x-ray,2.68,1007:1018 
EGFR,P00533,2itt,x-ray,2.73,876:989 1002:1019 
EGFR,P00533,2itu,x-ray,2.8,876:991 1002:1019 
EGFR,P00533,2itv,x-ray,2.47,876:989 1002:1019 
EGFR,P00533,2itw,x-ray,2.88,696:984 1007:1017 
EGFR,P00533,2itx,x-ray,2.98,697:861 866:989 1002:1019 
EGFR,P00533,2ity,x-ray,3.42,697:865 876:989 1003:1019 
EGFR,P00533,2itz,x-ray,2.72,876:990 1002:1019 
EGFR,P00533,2j5e,x-ray,3.1,696:796 798:985 987:990 1005:1020 
EGFR,P00533,2j5f,x-ray,3.0,696:866 875:992 1001:1019 
EGFR,P00533,2j6m,x-ray,3.1,697:984 1003:1020 
EGFR,P00533,2jit,x-ray,3.1,1009:1016 135:136 993:1004 1010:1018 
EGFR,P00533,2jiu,x-ray,3.05,1010:1015 
EGFR,P00533,2jiv,x-ray,3.5,700:753 875:984 699:753 873:982 
EGFR,P00533,2ks1,nmr,,634:677 
