gene,accession,pdb,method,resolution,coverage
CASP8,Q14790,AF-Q14790-F1-model_v2,alphafold,,1:479 
CASP8,Q14790,1f9e,x-ray,2.9,390:478 
CASP8,Q14790,1i4e,x-ray,3.0,390:479 
CASP8,Q14790,1qdu,x-ray,2.8,390:477 
CASP8,Q14790,1qtn,x-ray,1.2,223:374 390:479 
CASP8,Q14790,2c2z,x-ray,1.95,223:371 390:479 
CASP8,Q14790,2fun,x-ray,3.0,390:479 390:477 
CASP8,Q14790,2k7z,nmr,,415:446 464:479 
CASP8,Q14790,2y1l,x-ray,1.8,222:371 392:478 223:370 390:479 
CASP8,Q14790,3h11,x-ray,1.9,223:366 389:453 460:479 
CASP8,Q14790,3kjn,x-ray,1.8,223:374 390:479 
CASP8,Q14790,3kjq,x-ray,1.8,223:374 390:479 
CASP8,Q14790,4jj7,x-ray,1.18,223:374 390:478 
CASP8,Q14790,4prz,x-ray,2.12,223:373 390:478 
CASP8,Q14790,4ps1,x-ray,1.73,222:371 390:477 222:372 391:477 223:371 391:478 48:49 
CASP8,Q14790,5l08,e-m,4.6,2:182 
CASP8,Q14790,6agw,x-ray,2.09,2:180 
CASP8,Q14790,6px9,x-ray,2.88,223:361 390:407 461:479 390:406 462:479 223:360 388:405 222:361 389:407 389:408 
